task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Image description / captioning (detailed)","images; prompt text","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","detailed image descriptions / captions (text)","1D (t) (inferred)","Not specified in the paper."
"Meme interpretation (humor explanation)","meme images; question text","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","humor explanations (text)","1D (t) (inferred)","Not specified in the paper."
"Recipe generation from food photos","food photos; question text","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","cooking recipes (text)","1D (t) (inferred)","Not specified in the paper."
"Advertisement creation from product images","product images; prompt text","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","advertisements (text)","1D (t) (inferred)","Not specified in the paper."
"Poem composition from images","images; prompt text","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","poems (text)","1D (t) (inferred)","Not specified in the paper."
"Website creation from hand-written drafts","hand-written draft images","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","website content / code (text)","1D (t) (inferred)","Not specified in the paper."
"Factual retrieval from images (people/movies/art)","images (e.g., movie photographs)","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","factual information (text)","1D (t) (inferred)","Not specified in the paper."
"Plant disease diagnosis and treatment suggestion","plant images","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","diagnosis and treatment plans (text)","1D (t) (inferred)","Not specified in the paper."
"Visual question answering (VQA)","images; questions (VQA)","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","answers (text)","1D (t) (inferred)","Not specified in the paper."
"Story writing from images","images","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","stories (text)","1D (t) (inferred)","Not specified in the paper."
"Explanation of unusual visual phenomena","images","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","explanations (text)","1D (t) (inferred)","Not specified in the paper."
"Problem identification and solution generation from photos","photos","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","problems and solutions (text)","1D (t) (inferred)","Not specified in the paper."
