paper_dir,step1_label,final_label,final_dims,ocr_dims,task_dims,task_csv_dims,task_md_dims,dimension_source,confidence,ocr_evidence,task_evidence,notes
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Character-level language modeling | tokens (characters) | 1D (t) (inferred) | Capped (inferred) | Static (inferred) | Direct (inferred) | token probabilities | 1D (t...,
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Patch Selection for ViTs via Reinforcement Learning,hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:out_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Thinking Using Dynamic Computation,hybrid_transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=3D (x, y, t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Advancing Process Verification for LLM Reasoning,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Reasoning-path verification / ranking (arithmetic reasoning) | Problem statement and reasoning steps (sequence of steps) | 1D (t) (inferred) | Not specified in the p...,
BIBLIOTHEQUE/03_COMP-REAS/ARC-AGI Without Pretraining (CompressARC),transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.md:7:| prediction (output grid) | colored grid pairs (example input/output grids; test input grid) | 2D (x, y) | Capped (inferred) | Static (inferred) | Constructed (inferr...",
BIBLIOTHEQUE/03_COMP-REAS/ARC-NCA- Towards Developmental Solutions to the Abstraction and Reasoning Corpus,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.md:7:| visual pattern transformation | 2D grids (input-output example pairs and test input grid) | 2D (x, y) | Capped | Static (inferred) | Constructed (inferred) | output ...",
BIBLIOTHEQUE/03_COMP-REAS/ArcMemo- Abstract Reasoning Composition with Lifelong LLM Memory,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
"BIBLIOTHEQUE/03_COMP-REAS/Autoregressive Modeling as Iterative Latent Equilibrium (Equilibrium Transformers, EqT)",transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t) | TASK-DOMAINS.csv:3:out_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/Beyond A-- Planning with Transformers,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/03_COMP-REAS/Beyond Brute Force- A Neuro-Symbolic Architecture for Compositional Reasoning in ARC-AGI-2,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x | TASK-DOMAINS.md:7:| grid-to-grid transformation prediction (ARC-AGI-2 puzzles) | input-output grid examples and test input grid (color grids) | 2D (x, y) | Capped (inferred) | Static | ...",
BIBLIOTHEQUE/03_COMP-REAS/Combining Induction and Transduction for Abstract Reasoning,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/03_COMP-REAS/ConceptMoE- Adaptive Token-to-Concept Compression for Implicit Compute Allocation,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
