BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/TASK-DOMAINS.csv	2	in_dimension=1D (t) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/TASK-DOMAINS.csv	2	out_dimension=1D (t) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/TASK-DOMAINS.csv	3	in_dimension=1D (t) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/TASK-DOMAINS.md	7	| Planning / pathfinding | Rubik's cube state (graph node permutation vector) | 1D (t) (inferred) | Fixed (inferred) | Dynamic (inferred) | Constructed (inferred) | Pa...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/TASK-DOMAINS.md	8	| Prediction (diffusion distance regression) | Graph node feature vector v (permutation vector) | 1D (t) (inferred) | Fixed (inferred) | Static (inferred) | Direct (in...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/TASK-DOMAINS.csv	2	in_dimension=2D (x, y) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/TASK-DOMAINS.csv	2	out_dimension=2D (x, y) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/TASK-DOMAINS.csv	3	in_dimension=1D (t) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/TASK-DOMAINS.csv	3	out_dimension=1D (t) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/TASK-DOMAINS.md	7	| Grid transformation / visual reasoning (ARC task solving) | grid examples (input/output pairs; test input grids) | 2D (x, y) (inferred) | Capped (inferred) | Dynamic...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/TASK-DOMAINS.md	8	| Arithmetic expression synthesis (24 Game) | four input numbers and target 24 | 1D (t) (inferred) | Fixed (inferred) | Dynamic (inferred) | Constructed (inferred) | a...
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers/TASK-DOMAINS.csv	2	in_dimension=1D (t) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers/TASK-DOMAINS.csv	2	out_dimension=1D (t) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers/TASK-DOMAINS.md	7	| Character-level language modeling | tokens (characters) | 1D (t) (inferred) | Capped (inferred) | Static (inferred) | Direct (inferred) | token probabilities | 1D (t...
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Patch Selection for ViTs via Reinforcement Learning/TASK-DOMAINS.csv	2	in_dimension=2D (x, y) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Patch Selection for ViTs via Reinforcement Learning/TASK-DOMAINS.csv	3	in_dimension=2D (x, y) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Patch Selection for ViTs via Reinforcement Learning/TASK-DOMAINS.csv	3	out_dimension=2D (x, y) (inferred)
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Patch Selection for ViTs via Reinforcement Learning/TASK-DOMAINS.md	7	| classification | images | 2D (x, y) (inferred) | Fixed (inferred) | Dynamic (inferred) | Direct (inferred) | class labels (inferred) | 0D (inferred) | Fixed (inferre...
