BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	183	Beam search is a simple but effective search procedure used for various optimization tasks [56–58] as well as to improve outputs of the modern transformer-based language models [59–61]. It has been used in EfficientCube [36] and by many participants of the Kaggle Challenge [34]. We implemented a modified version of traditional beam search, which uses hash functions to remove duplicates, reducin...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	332	- [41] B. Romera-Paredes, M. Barekatain, A. Novikov, M. Balog, M. P. Kumar, E. Dupont, F. J. Ruiz, J. S. Ellenberg, P. Wang, O. Fawzi, et al., Mathematical discoveries from program search with large language models, Nature 625, 468 (2024).
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	334	- [43] A. Alfarano, F. Charton, and A. Hayat, Global lyapunov functions: a long-standing open problem in mathematics, with symbolic transformers, arXiv preprint arXiv:2410.08304 10.48550/arXiv.2410.08304 (2024).
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	355	- [61] M. Musolesi, Creative beam search: Llm-as-a-judge for improving response generation, Proc. of the 15th International Conference on Computational Creativity (ICCC'24) (2024).
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	119	This weak spot hinders the ability of neural networks to learn tasks involving systematic behavior such as counting, arithmetic, problem-solving, and more in a way which generalizes outside the training distribution. Whereas a human knows rules which allows them to count arbitrarily high, or add arbitrarily large numbers, a neural network is limited to what it has seen before—it can not extrapo...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	121	ral language model[2], which astonished the community with its ability to generate hyperrealistic text. Despite containing more parameters than the human brain has neurons and being trained on a large swath of data from the internet, GPT-3 can add two digit numbers with 100% accuracy, but five digit numbers with only 10% accuracy. Simply increasing the amount of training data and the size of th...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	538	- [5] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. Bert: Pre-training of deep bidirectional transformers for language understanding, 2019.
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers/Adaptive Attention Span in Transformers.md	1	# **Adaptive Attention Span in Transformers**
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers/Adaptive Attention Span in Transformers.md	9	We propose a novel self-attention mechanism that can learn its optimal attention span. This allows us to extend significantly the maximum context size used in Transformer, while maintaining control over their memory footprint and computational time. We show the effectiveness of our approach on the task of character level language modeling, where we achieve state-of-the-art performances on text8...
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers/Adaptive Attention Span in Transformers.md	13	Language models are at the core of many NLP applications, like machine translation or dialogue. Recently, much progress has been made by a new neural network called Transformer (Vaswani et al., 2017). Part of its success is due to its ability to capture long term dependencies. This is achieved by taking long sequences as inputs and explicitly compute the relations between every token via a mech...
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers/Adaptive Attention Span in Transformers.md	15	While this layer allows for information to propagate across long distances, it has a computational and memory cost that scales quadratically with the size of the input sequence. As a consequence, Transformers hardly scale to sequences of more than a thousand tokens. This is particularly problematic in the case of character level language modeling where dependencies are often spread over a few t...
