task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Mental reasoning depth (Depo),Token sequence of directed permutation edges and queries,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,k-th successor answers,1D (t) (inferred),Capped (inferred)
Mental reasoning breadth (Brevo),Token sequence of DAG edges and query vertex,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Reachable vertices in topological order,1D (t) (inferred),Capped (inferred)
Knowledge capacity (Capo),Synthetic biographies with attributes,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Next-token prediction distribution,1D (t) (inferred),Not specified in the paper.
Knowledge manipulation (Mano),Prefix-notation modular arithmetic expressions,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Single-token modular arithmetic result,0D (inferred),Fixed (inferred)
Hierarchical language structure (Lano),CFG-generated sentences,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,CFG-compliant sentences,1D (t) (inferred),Capped (inferred)
Copying (Full Copy),Sequence with random permutation and query token,1D (t) (inferred),Fixed (inferred),Not specified in the paper.,Not specified in the paper.,Identical copy of the sequence,1D (t) (inferred),Fixed (inferred)
Discriminative task (PIQA),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Discriminative task (HellaSwag),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Discriminative task (Wino-Grande),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Discriminative task (ARC-easy/challenge),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Discriminative task (SIQA),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Discriminative task (BoolQ),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Discriminative task (WikiText),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Discriminative task (LAMBADA),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Generative task (SWDE),Context and question prompts (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Generated answers (inferred),1D (t) (inferred),Not specified in the paper.
Generative task (FDA),Context and question prompts (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Generated answers (inferred),1D (t) (inferred),Not specified in the paper.
Generative task (SQuAD(v2)),Context and question prompts (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Generated answers (inferred),1D (t) (inferred),Not specified in the paper.
Generative task (TriviaQA),Context and question prompts (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Generated answers (inferred),1D (t) (inferred),Not specified in the paper.
Generative task (NQ),Context and question prompts (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Generated answers (inferred),1D (t) (inferred),Not specified in the paper.
Generative task (DROP),Context and question prompts (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Generated answers (inferred),1D (t) (inferred),Not specified in the paper.
Needle-in-a-Haystack retrieval (NIAH),Long text with a needle value,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Needle value,0D (inferred),Fixed (inferred)
Multi-hop reasoning (Babilong),Long junk-filled passages with embedded bAbi tasks,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Information retrieval (1-hop-L),Wikipedia passages of length L tokens with five birth year statements,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Birth year,0D (inferred),Fixed (inferred)
Information retrieval (2-hop-L),Wikipedia passages of length L tokens with birth year and equivalence statements,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Birth year,0D (inferred),Fixed (inferred)
