task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Commonsense reasoning (StoryCloze)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text completion (inferred)","1D (t) (inferred)","Capped (inferred)"
"Commonsense NLI (HellaSwag)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text completion (inferred)","1D (t) (inferred)","Capped (inferred)"
"Word ambiguity (Winograd)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer (inferred)","1D (t) (inferred)","Capped (inferred)"
"Word ambiguity (Winogrande)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer (inferred)","1D (t) (inferred)","Capped (inferred)"
"Physical commonsense (PIQA)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer (inferred)","1D (t) (inferred)","Capped (inferred)"
"Question answering (BoolQ)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer (inferred)","1D (t) (inferred)","Capped (inferred)"
"Textual entailment (CB)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer (inferred)","1D (t) (inferred)","Capped (inferred)"
"Causal reasoning (COPA)","text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer (inferred)","1D (t) (inferred)","Capped (inferred)"
"OCR-free sentiment classification (Rendered SST-2)","rendered text images","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Direct (inferred)","sentiment label (positive/negative)","1D (t) (inferred)","Capped (inferred)"
"OCR-free meme classification (HatefulMemes)","meme images","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Direct (inferred)","Yes/No answer","1D (t) (inferred)","Capped (inferred)"
"Object size reasoning (RelativeSize)","text prompts (object pairs)","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Yes/No answer","1D (t) (inferred)","Capped (inferred)"
"Object color reasoning (MemoryColor)","text prompts (object)","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","color label","1D (t) (inferred)","Capped (inferred)"
"Object color reasoning (ColorTerms)","text prompts (object)","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","color label","1D (t) (inferred)","Capped (inferred)"
"Raven's Progressive Matrices (IQ Test)","matrix images + textual instruction","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Yes/No answer","1D (t) (inferred)","Capped (inferred)"
"Image captioning (COCO Caption)","image","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Direct (inferred)","natural language description","1D (t) (inferred)","Capped (inferred)"
"Image captioning (Flicker30k)","image","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Direct (inferred)","natural language description","1D (t) (inferred)","Capped (inferred)"
"Visual question answering (VQAv2)","image + question text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer","1D (t) (inferred)","Capped (inferred)"
"Visual question answering (VizWiz)","image + question text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer","1D (t) (inferred)","Capped (inferred)"
"Web page question answering (WebSRC)","web page image + extracted text + question","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","answer from web page","1D (t) (inferred)","Capped (inferred)"
"Zero-shot image classification (ImageNet)","image","2D (x, y) (inferred)","Fixed (inferred)","Static (inferred)","Direct (inferred)","category name","1D (t) (inferred)","Capped (inferred)"
"Zero-shot image classification with descriptions (CUB)","image + category descriptions (text)","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","specific category name","1D (t) (inferred)","Capped (inferred)"
