task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Sentence acceptability judgment (classification)","text (sentence)","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","label (single word)","0D","Fixed"
"Sentiment analysis (classification)","text (sentence)","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","label (single word)","0D","Fixed"
"Paraphrasing / sentence similarity (classification)","text (sentence pair)","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","label or similarity score (single word)","0D","Fixed"
"Natural language inference (classification)","text (premise + hypothesis)","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","label (single word)","0D","Fixed"
"Coreference/pronoun resolution (referent prediction)","text passage with ambiguous pronoun","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","referent noun phrase (text)","1D (t)","Not specified in the paper."
"Sentence completion (classification)","text","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","label (single word)","0D","Fixed"
"Word sense disambiguation (classification)","text","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","label (single word)","0D","Fixed"
"Question answering (reading comprehension)","question + context text","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","answer text","1D (t)","Not specified in the paper."
"Abstractive summarization","document text","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","summary text","1D (t)","Not specified in the paper."
"Machine translation (English->German)","English text","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","German text","1D (t)","Not specified in the paper."
"Machine translation (English->French)","English text","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","French text","1D (t)","Not specified in the paper."
"Machine translation (English->Romanian)","English text","1D (t)","Capped","Not specified in the paper.","Not specified in the paper.","Romanian text","1D (t)","Not specified in the paper."
