task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Grid-to-grid transformation (ARC riddle solving),ARC grid-pairs (input/output grids) and test input grid,"2D (x, y)",Not specified in the paper.,Static (inferred),Constructed (inferred),output grid,"2D (x, y)",Not specified in the paper.
DSL function name/parameter prediction (ARC),ARC riddle grids,"2D (x, y)",Not specified in the paper.,Static (inferred),Constructed (inferred),DSL function names and parameters,1D (t) (inferred),Not specified in the paper.
Code generation for ARC riddle solutions,ARC riddle grids,"2D (x, y)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,code/program,1D (t) (inferred),Not specified in the paper.
Multimodal grid representation translation,grid representations (Base64 images; text; English descriptions; code),"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,grid representations (Base64 images; text; English descriptions; code),"2D (x, y); 1D (t) (inferred)",Not specified in the paper.
PCFG string-operation tasks with function name generation,strings (few-shot examples),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,strings; function names,1D (t) (inferred),Not specified in the paper.
Arithmetic and counting tasks,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Arithmetic code generation,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,code,1D (t) (inferred),Not specified in the paper.
Chained boolean expression evaluation,boolean expressions (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,boolean values (inferred),0D (inferred),Not specified in the paper.
Cellular automata and mathematical pattern grid tasks,ARC-style grid riddles (inferred),"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,output grids (inferred),"2D (x, y) (inferred)",Not specified in the paper.
Solution graph prediction,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,solution graphs,Not specified in the paper.,Not specified in the paper.
Language and reasoning tasks (NLP datasets),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Domain-specific scientific tasks,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Multimodal and visual reasoning tasks,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Programming and code-related tasks,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
