BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	23	Rubik's cube is one of the most famous puzzles, which is believed to be played by more than a billion people in the world [1]. According to [2], it was included in the 100 most influential inventions of the 20th centu...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	99	Table I[51] summarizes the main results achieved by the proposed solver, highlighting its Superiority over the prior state of the art. Notably, it surpasses the 2023 Kaggle Santa Challenge results, where over a thousa...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	103	TABLE I. The most notable results achieved by the proposed solution and comparison with competitors.
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	141	the large number of agents but also by the efficiency of each single node. We performed an additional test to prove this statement and compared it with EfficentCube in terms of average computation time while running o...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	185	TABLE II. The parameters of neural networks used in current research
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	219	All the experiments were conducted using software attached to this paper. The experiments targeting analysis of trainset size's influence on the solver's performance included solving 20 scrambles of both $3\times3\tim...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	223	The first experiment's results are demonstrated in Figure 2a. Single layer MLPs for $4\times4\times4$ Rubik's cube are not presented in Table II as during preliminary research solvers equipped with this type of model ...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	225	During the second experiment, we used only 10 layer models with size 4M (models No.8 and 16 from Table II). The first experiment's results did not show a significant effect of increasing T (train size) from 4B to 16B....
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	227	The results of the second experiment are demonstrated in Figure 2b. A deeper analysis of the experimental results shows that if we consider only W values that give a puzzle winning probability above 50%, the agent wit...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	229	| TABLE III. Average solution length depending from trainset size $T$ and beam width $W$ for tested with | n puzzle win probability |
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	255	The third experiment analyzed the influence of the number of agents A on the solver's efficiency. We used models No.8, 16, and 25 for this experiment from Table II. We trained each of these models multiple times durin...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	261	The experimental results listed in Table I were achieved by solving all the scrambles from the corresponding dataset defined in the third column of Table I using the proposed solver. The key solver parameters are list...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	296	- [8] K. Loukhaoukha, J.-Y. Chouinard, and A. Berdai, A secure image encryption algorithm based on rubik's cube principle, Journal of Electrical and Computer Engineering 2012, 173931 (2012).
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	344	- [51] All the solvers presented in the Table I managed to solve all the scrambles from the listed datasets.
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	109	Instead, task-specific specialization inhibitive to general applicability occurs in what might be designated the symbolic, rule-based behavior of the systems. For example, AlphaZero, DeepMind's AI for playing chess an...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	123	For another example, we can consider Conway's Game of Life, a cellular automaton where cells in a grid update their state to black or white based on the state of their neighbors. If we provide a network with the "syst...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	125	One way to look at this failing of neural networks is that they are simply memorizing the training data. Symbolic reasoning, in contrast, consists of rules which can be applied outside the distribution: a memorized so...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	139	Figure 2: An example ARC task with three shown training examples and one test example. The solution might be described as "find the most common object in the input grid".
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	145	ARC consists of a training set of 400 tasks, an evaluation set of 400 tasks, and a private test set of 200 tasks. Each task consists of a 2–4 training examples and one or more test examples. Each training example is a...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	157	As laid out in the paper, ARC is best thought of as a program synthesis benchmark. The most straightforward way to approach solving a task is to seek to write a program that converts the input grid to the output grid ...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	185	DreamCoder is a program synthesis engine; it solves tasks by learning to write programs which convert, in this case, the input grid into the target grid. As it solves tasks, it learns new abstractions through "compres...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	222	In a second experiment, we demonstrate how compression-based learning enables developer-aware generalization on the ARC dataset. We provide DreamCoder with a set of five grid-manipulation operations: flipping vertical...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	224	grids vertically with stack\_vertically, and getting the left half of a grid with left\_half. We then train our agent on a subset of 36 ARC training tasks involving symmetry over five iterations of enumeration and com...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	226	After each iteration, our agent learns new abstractions which help it solve tasks that were previously too difficult. Thus, the DreamCoder compression framework enables our agent to learn interpretable, compositional ...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	276	Let us consider some motivating examples for our approach that showcase the step-by-step reasoning we will emulate. To solve a task, one must answer the question: by what rule can we derive the output grid from input ...
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	284	- 1. Notice that the output grid is one of the objects present in the input grid.
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	285	- 2. Reframe the question: for each input grid, which object do we choose?
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning/A Neurosymbolic Approach to Abstraction and Reasoning.md	288	Note how observations are conditional on the contents of both the input and output grid. In addition, it is hard to imagine discovering the solution without making the first observation.
