task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Mathematical problem solving,text prompts/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers/solutions,1D (t) (inferred),Not specified in the paper.
Coding competition problem solving,text prompts/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text responses,1D (t) (inferred),Not specified in the paper.
Software engineering coding tasks,text prompts/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text responses,1D (t) (inferred),Not specified in the paper.
Knowledge question answering (educational),text prompts/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Factual question answering,text prompts/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Long-context document QA/analysis,text prompts/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers/analysis,1D (t) (inferred),Not specified in the paper.
Instruction-following (format adherence),text prompts/instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,formatted text outputs,1D (t) (inferred),Not specified in the paper.
Creative writing,text prompts/instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,generated text,1D (t) (inferred),Not specified in the paper.
General question answering (open-domain),text prompts/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Editing,text prompts/instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,edited text,1D (t) (inferred),Not specified in the paper.
Summarization,text prompts/instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,summaries (text),1D (t) (inferred),Not specified in the paper.
Function calling,text prompts/instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,function-call text,1D (t) (inferred),Not specified in the paper.
Multi-turn dialogue,text prompts/conversation history,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,dialogue responses (text),1D (t) (inferred),Not specified in the paper.
Role-playing,text prompts/instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,role-play responses (text),1D (t) (inferred),Not specified in the paper.
JSON structured output generation,text prompts/instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,JSON text output,1D (t) (inferred),Not specified in the paper.
