task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
TAMP VQA q1 (object color),image; question text (inferred),"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text (inferred),1D (t) (inferred),Not specified in the paper.
TAMP VQA q2 (object-table relation),image; question text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Not specified in the paper.
TAMP VQA q3 (object-object relation),image; question text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Not specified in the paper.
TAMP VQA q4 (plan feasibility),image; question text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text,1D (t) (inferred),Not specified in the paper.
TAMP planning p1 (grasping),image; question text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text plan steps,1D (t) (inferred),Not specified in the paper.
TAMP planning p2 (stacking),image; question text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text plan steps,1D (t) (inferred),Not specified in the paper.
Language-Table Task 1 (push closest block to same-color block),image; high-level task text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text instruction,1D (t) (inferred),Not specified in the paper.
Language-Table Task 2 (sort blocks by colors into corners),image; high-level task text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text instruction,1D (t) (inferred),Not specified in the paper.
Language-Table Task 3 (push blocks on one side together),image; high-level task text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text instruction,1D (t) (inferred),Not specified in the paper.
Mobile manipulation affordance prediction,image; skill question text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text (inferred),1D (t) (inferred),Not specified in the paper.
Mobile manipulation failure detection,image; skill question text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text (inferred),1D (t) (inferred),Not specified in the paper.
Mobile manipulation long-horizon planning,image; instruction text; step history text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,next-step text,1D (t) (inferred),Not specified in the paper.
OK-VQA,image; question text (inferred),"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text (inferred),1D (t) (inferred),Not specified in the paper.
VQA v2,image; question text (inferred),"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,answer text (inferred),1D (t) (inferred),Not specified in the paper.
COCO captioning,image (inferred),"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,caption text (inferred),1D (t) (inferred),Not specified in the paper.
TriviaQA (wiki) (EM) (NLG),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,generated text (inferred),1D (t) (inferred),Not specified in the paper.
Natural Questions (EM) (NLG),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,generated text (inferred),1D (t) (inferred),Not specified in the paper.
WebQuestions (EM) (NLG),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,generated text (inferred),1D (t) (inferred),Not specified in the paper.
Lambada (NLG),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,generated text (inferred),1D (t) (inferred),Not specified in the paper.
HellaSwag (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
StoryCloze (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
Winograd (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
Winogrande (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
RACE-M (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
RACE-H (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
PIQA (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
ARC-e (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
ARC-c (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
OpenBookQA (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
BoolQ (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
Copa (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
RTE (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
Wic (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
WSC (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
ReCoRD (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
CB (NLU),text (inferred),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label answer (inferred),0D (inferred),Not specified in the paper.
