task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Visual question answering","images; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","answer tokens","1D (t) (inferred)","Capped (inferred)"
"Counting objects in images","images; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","count tokens","1D (t) (inferred)","Capped (inferred)"
"Image captioning","images","2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","caption tokens","1D (t) (inferred)","Capped (inferred)"
"Text transcription (OCR)","images/documents","2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","transcribed text tokens","1D (t) (inferred)","Capped (inferred)"
"Document understanding","document images/PDF pages; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","answer tokens","1D (t) (inferred)","Capped (inferred)"
"Chart/figure understanding","chart/figure images; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","explanation/answer tokens","1D (t) (inferred)","Capped (inferred)"
"Table understanding","table images; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","answer tokens","1D (t) (inferred)","Capped (inferred)"
"Visual reasoning","images; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","reasoning answer tokens","1D (t) (inferred)","Capped (inferred)"
"Geometry reasoning","geometry diagrams/images; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","geometry answer tokens","1D (t) (inferred)","Capped (inferred)"
"Spotting differences between 2 images","two images; question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","difference description tokens","1D (t) (inferred)","Capped (inferred)"
"Screenshot-to-code generation","webpage screenshot image; instruction/question tokens","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","code tokens","1D (t) (inferred)","Capped (inferred)"
"Complex instruction following (text-only)","instruction tokens","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","response tokens","1D (t) (inferred)","Capped (inferred)"
"Mathematical problem solving","text and/or image problem statements; question tokens","1D (t); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","solution tokens","1D (t) (inferred)","Capped (inferred)"
"Arithmetic calculation","text and/or table/image context; question tokens","1D (t); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","numeric answer tokens","1D (t) (inferred)","Capped (inferred)"
"Chat dialogue response generation","images and/or text; multi-turn conversation tokens","1D (t); 2D (x, y) (inferred)","Open (inferred)","Static (inferred)","Direct (inferred)","dialogue response tokens","1D (t) (inferred)","Open (inferred)"
