task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
target character prediction (Indirect Indexing),character-level tokens: source string; source character; shift,1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),target character token,0D (inferred),Fixed (inferred)
autoregressive sequence modeling (symbolic music),MIDI-based token sequence (JSB/MAESTRO),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),next-token prediction over music tokens (inferred),1D (t) (inferred),Capped (inferred)
autoregressive sequence modeling (human genome),genomic sequence tokens (Human Reference Genome),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),next-token prediction (genome tokens),1D (t) (inferred),Capped (inferred)
language modeling (OpenWebText; PG-19 length extrapolation),text tokens (OpenWebText; GPT-2 tokenizer),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),next-token prediction (text tokens) (inferred),1D (t) (inferred),Capped (inferred)
zero-shot last-word prediction (LAMBADA),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,last word (can be multiple tokens),Not specified in the paper.,Not specified in the paper.
zero-shot evaluation (BLiMP),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
zero-shot evaluation (Children's Book Test (CBT)),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
zero-shot evaluation (HellaSwag),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
zero-shot evaluation (PIQA),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
zero-shot evaluation (ARC-E),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
