task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Array element access,array A; index k,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),value A[k],0D (inferred),Fixed (inferred)
Array increment,array A,1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),array A with each element +1,1D (t) (inferred),Capped (inferred)
Array copy,array A; destination pointer p,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),copied array at destination,1D (t) (inferred),Capped (inferred)
Array reverse,array A; destination pointer p,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),reversed array at destination,1D (t) (inferred),Capped (inferred)
Array element swap,array A; pointers p and q,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),array A with A[p] and A[q] swapped,1D (t) (inferred),Capped (inferred)
Array permutation,arrays P and A; pointer a to A,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),permuted array (A reordered by P),1D (t) (inferred),Capped (inferred)
Linked-list k-th element lookup,linked list (head pointer); index k; output slot,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),value of k-th element,0D (inferred),Fixed (inferred)
Linked-list search,linked list (head pointer); value v,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),pointer to first node with value v,0D (inferred),Fixed (inferred)
Merge sorted arrays,"two sorted arrays A and B; pointers a, b, o","1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),merged sorted array,1D (t) (inferred),Capped (inferred)
Binary search tree path lookup,binary search tree (root pointer); path sequence; output slot,"1D (t) (inferred); 0D (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),value at end of path,0D (inferred),Fixed (inferred)
