paper_dir,class_code,A_hits,B_hits,C_hits,D_hits,label,confidence,evidence_lines,notes
BIBLIOTHEQUE/03_COMP-REAS/A Framework for Temporal Abstraction in Reinforcement Learning,COMP-REAS,0,0,0,11,transformer_no,medium,D@265: The problem of finding an optimal policy over a set of options $\mathcal{O}$ can also be addressed by learning methods. Because the MDP a...,
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes,COMP-REAS,4,0,0,0,transformer_yes,high,A@183: Beam search is a simple but effective search procedure used for various optimization tasks [56–58] as well as to improve outputs of the m...,
BIBLIOTHEQUE/03_COMP-REAS/A Neural Transducer,COMP-REAS,0,1,3,16,uncertain,low,"B@55: Sequence-to-sequence models represent a breakthrough where no such assumptions are made – the output sequence is generated by next step p... | D@33: In this paper, we present a Neural Transducer, a more general class of sequence-to-sequence learning models. Neural Transducer can produc...",
BIBLIOTHEQUE/03_COMP-REAS/A Neurosymbolic Approach to Abstraction and Reasoning,COMP-REAS,2,0,0,3,hybrid_transformer_yes,high,"A@119: This weak spot hinders the ability of neural networks to learn tasks involving systematic behavior such as counting, arithmetic, problem-... | D@113: recognize patterns in data, networks do so in a way which fails to generalize outside the distribution of data on which they are trained....",
BIBLIOTHEQUE/03_COMP-REAS/A prototype for data-driven visual attention,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/A simple neural network module for relational reasoning,COMP-REAS,0,0,1,20,transformer_no,medium,"D@75: For our purposes, an important feature of CLEVR is that many questions are explicitly relational in nature. Remarkably, powerful QA archi...",
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Attention Span in Transformers,COMP-REAS,14,6,7,0,transformer_yes,high,A@1: # **Adaptive Attention Span in Transformers** | B@9: We propose a novel self-attention mechanism that can learn its optimal attention span. This allows us to extend significantly the maximum...,
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Computation Time (ACT),COMP-REAS,0,0,0,16,transformer_no,medium,D@17: The approach pursued here is to augment the network output with a sigmoidal halting unit whose activation determines the probability that...,
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Patch Selection for ViTs via Reinforcement Learning,COMP-REAS,60,4,10,17,hybrid_transformer_yes,high,"A@3: # Adaptive patch selection to improve Vision Transformers through Reinforcement Learning | B@81: trained by the predictions of a larger model. Other approaches try to reduce the complexity of attention layers; for example, in [62] the... | D@47: by the previous observations, our approach uses RL to reduce the computational complexity of the attention layers and, consequently, the ...",
BIBLIOTHEQUE/03_COMP-REAS/Adaptive Thinking Using Dynamic Computation,COMP-REAS,11,2,2,10,hybrid_transformer_yes,high,"A@17: While the human brain efficiently handles various computations with a limited number of neurons, traditional deep learning networks requi... | B@96: **MIND-Transformer** For natural language processing tasks, we extend the prediction network to a Transformer architecture, introducing a... | D@88: We show two agnostic features: one for vision tasks using a Convolutional Neural Network (CNN), and another for language tasks using LSTM...",
