task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Generation (multimodal response),text; audio; image; video,"1D (t) (inferred); 2D (x, y) (inferred); 3D (x, y, t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text; audio; image,"1D (t) (inferred); 2D (x, y) (inferred)",Not specified in the paper.
Generation (voice/voice cloning),audio clip (voice sample),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,audio (synthetic voice),1D (t) (inferred),Not specified in the paper.
Identification (speaker identification),audio (voice),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,speaker identity,0D (inferred),Not specified in the paper.
Classification (sensitive trait attribution),audio (voice),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,"trait label (e.g., accent, nationality)",0D (inferred),Not specified in the paper.
Question answering (knowledge),text questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Text continuation (commonsense),text prompts,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text continuations,1D (t) (inferred),Not specified in the paper.
Question answering (clinical knowledge),clinical questions (text),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Question answering (biological threat creation),text questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Reading comprehension / QA (underrepresented languages),"text passages and questions (Amharic, Hausa, Yoruba, etc.)",1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Theory of mind / self-knowledge question answering,text scenarios/questions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text answers,1D (t) (inferred),Not specified in the paper.
Cybersecurity exploitation (CTF solving),"CTF challenge text; vulnerable systems (web apps, binaries, cryptography systems)",1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,textual flags,1D (t) (inferred),Not specified in the paper.
Software engineering / code generation,codebase and instructions,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,"code (e.g., Python/CUDA)",1D (t) (inferred),Not specified in the paper.
Machine learning engineering (audio classification),audio recordings dataset,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,class labels (JSON list),1D (t) (inferred),Not specified in the paper.
Persuasive content generation,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text articles/chatbots; audio clips/conversations,1D (t) (inferred),Not specified in the paper.
Scientific reasoning and figure interpretation,scientific problems; figures/images,"1D (t) (inferred); 2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,text explanations/identifications,1D (t) (inferred),Not specified in the paper.
Autonomous action execution (agentic tasks),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,autonomous actions,Not specified in the paper.,Not specified in the paper.
