task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Summarization (articles)","content of an article","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","summary","1D (t) (inferred)","Not specified in the paper."
"Machine reading comprehension (MRC)","sequences of tokens","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","sequences of tokens","1D (t) (inferred)","Not specified in the paper."
"Natural language to SQL generation (NL2SQL/WikiSQL)","natural language question/query; table schema","1D (t); 2D (x, y) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","SQL command/query","1D (t) (inferred)","Not specified in the paper."
"Natural language inference (MNLI/QNLI/RTE)","natural language text (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","inference label (inferred)","0D (inferred)","Not specified in the paper."
"Sentiment analysis (SST-2)","natural language text (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","sentiment label (inferred)","0D (inferred)","Not specified in the paper."
"Paraphrase detection (MRPC)","text pair (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","paraphrase label (inferred)","0D (inferred)","Not specified in the paper."
"Linguistic acceptability (CoLA)","natural language text (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","acceptability label (inferred)","0D (inferred)","Not specified in the paper."
"Question-answering (QQP)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper."
"Textual similarity (STS-B)","text pair (inferred)","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","similarity score (inferred)","0D (inferred)","Not specified in the paper."
"Conversation summarization (SAMSum)","staged chat conversations","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","abstractive summaries","1D (t) (inferred)","Not specified in the paper."
"Data-to-text generation (E2E NLG Challenge)","sequence of slot-value pairs","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","natural language reference text","1D (t) (inferred)","Not specified in the paper."
"Data-to-text generation (DART)","sequence of ENTITY — RELATION — ENTITY triples","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","natural language text (inferred)","1D (t) (inferred)","Not specified in the paper."
"Data-to-text generation (WebNLG)","sequence of SUBJECT — PROPERTY — OBJECT triples","1D (t) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","natural language text (inferred)","1D (t) (inferred)","Not specified in the paper."
