task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Next-symbol prediction (embedded Reber grammar),symbol sequences (embedded Reber grammar strings),1D (t),Open (inferred),Static (inferred),Constructed (inferred),next-symbol predictions (per time step),1D (t),Open (inferred)
"Next-symbol prediction with long time lags (noise-free sequences)","symbol sequences over {a_1..a_{p-1}, x, y}",1D (t),Fixed,Static (inferred),Constructed (inferred),next-symbol predictions (per time step),1D (t),Fixed
"Next-symbol prediction with no local regularities (random subsequences)","symbol sequences with random subsequences over {a_1..a_{p-1}, x, y}",1D (t),Fixed,Static (inferred),Constructed (inferred),next-symbol predictions (per time step),1D (t),Fixed
Final-symbol prediction with trigger and distractors,symbol sequences with distractors and trigger symbol e,1D (t),Open (inferred),Static (inferred),Constructed (inferred),final symbol prediction (x or y) at sequence end,0D,Fixed
Binary sequence classification (2-sequence problem),"real-valued time series (single input line; first N elements convey class)",1D (t),Capped,Static (inferred),Constructed (inferred),binary class label at sequence end (1.0 vs 0.0),0D,Fixed
Binary sequence classification with noisy informative elements,real-valued time series with Gaussian noise on informative elements,1D (t),Capped,Static (inferred),Constructed (inferred),binary class label at sequence end,0D,Fixed
Sequence regression of conditional expectations (noisy targets),"real-valued time series (single input line; first N elements convey class)",1D (t),Capped,Static (inferred),Constructed (inferred),real-valued target at sequence end (0.2 vs 0.8),0D,Fixed
Adding problem (sum of marked values),sequence of real-valued pairs with marker component,1D (t),Capped,Static (inferred),Constructed (inferred),sum of marked values at sequence end (scaled),0D,Fixed
Multiplication problem (product of marked values),sequence of real-valued pairs with marker component,1D (t),Capped,Static (inferred),Constructed (inferred),product of marked values at sequence end,0D,Fixed
Temporal order sequence classification (two symbols),symbol sequences with two relevant X/Y positions,1D (t),Capped,Static (inferred),Constructed (inferred),4-class label at sequence end (Q/R/S/U),0D,Fixed
Temporal order sequence classification (three symbols),symbol sequences with three relevant X/Y positions,1D (t),Capped,Static (inferred),Constructed (inferred),8-class label at sequence end (Q/R/S/U/V/A/B/C),0D,Fixed
