task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
language modeling (Arxiv),tokens,1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),tokens (inferred),1D (t) (inferred),Capped (inferred)
language modeling (Books3),tokens,1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),tokens (inferred),1D (t) (inferred),Capped (inferred)
prediction (EVEN PAIRS) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
prediction (MODULAR ARITHMETIC (SIMPLE)) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
prediction (PARITY CHECK) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
prediction (CYCLE NAVIGATION) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
prediction (STACK MANIPULATION) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),sequence (inferred),1D (t) (inferred),Capped (inferred)
prediction (REVERSE STRING) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),sequence (inferred),1D (t) (inferred),Capped (inferred)
prediction (MODULAR ARITHMETIC) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
prediction (SOLVE EQUATION) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
prediction (DUPLICATE STRING) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),sequence (inferred),1D (t) (inferred),Capped (inferred)
prediction (MISSING DUPLICATE) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
prediction (Odds First) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),sequence (inferred),1D (t) (inferred),Capped (inferred)
prediction (BINARY ADDITION) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),sequence (inferred),1D (t) (inferred),Capped (inferred)
prediction (COMPUTE SQRT) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),sequence (inferred),1D (t) (inferred),Capped (inferred)
prediction (BUCKET SORT) (inferred),sequences (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),sequence (inferred),1D (t) (inferred),Capped (inferred)
