task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Passkey retrieval,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct password,1D (t) (inferred),Not specified in the paper.
Language modeling,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,next tokens,1D (t) (inferred),Not specified in the paper.
Summarization,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,summary text,1D (t) (inferred),Capped (inferred)
LongEval lines task,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Single-Document QA,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Multi-Document QA,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Few-shot Learning,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Synthesis Tasks,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Code Completion,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
NIAH (needle-in-a-haystack) retrieval,input tokens,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,specific piece of information (needle),1D (t) (inferred),Not specified in the paper.
