task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
text reasoning,text tokens (inferred),1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
mathematics,text tokens (inferred),1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
code generation,text tokens (inferred),1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
knowledge retrieval,text tokens (inferred),1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
needle-in-haystack,text tokens (inferred),1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
long context summarization,text tokens (inferred),1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
long context understanding,text tokens (inferred),1D (t) (inferred),Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
visual localization,visual tokens + text tokens (inferred),"2D (x, y); 1D (t) (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
visual reasoning,visual tokens + text tokens (inferred),"2D (x, y); 1D (t) (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
hallucination detection,visual tokens + text tokens (inferred),"2D (x, y); 1D (t) (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
visual question answering,visual tokens + text tokens (inferred),"2D (x, y); 1D (t) (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
chart extraction,visual tokens + text tokens (inferred),"2D (x, y); 1D (t) (inferred)",Capped (inferred),Dynamic (inferred),Constructed (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred)
