task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Text language modeling (next-token prediction)","text token sequences","1D (t)","Capped (inferred)","Static (inferred)","Direct (inferred)","next text tokens","1D (t)","Capped (inferred)"
"Text masked language modeling","text token sequences with masked tokens","1D (t)","Capped (inferred)","Static (inferred)","Direct (inferred)","masked text tokens","1D (t)","Capped (inferred)"
"Protein language modeling (next-token prediction)","protein sequence tokens","1D (t)","Capped","Static (inferred)","Direct (inferred)","next amino-acid tokens","1D (t)","Capped"
"Protein masked language modeling","protein sequence tokens with masked tokens","1D (t)","Capped","Static (inferred)","Direct (inferred)","masked amino-acid tokens","1D (t)","Capped"
"Pixel prediction (ImageNet64, autoregressive)","image pixels","1D (t); 2D (x, y) (inferred)","Fixed","Static (inferred)","Direct (inferred)","predicted pixel values","1D (t); 2D (x, y) (inferred)","Fixed"
"Protein interaction prediction (concatenated TrEMBL benchmark)","concatenated protein sequence tokens","1D (t)","Fixed","Static (inferred)","Direct (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper."
"ListOps classification (Long Range Arena)","ListOps token sequences","1D (t)","Capped (inferred)","Static (inferred)","Direct (inferred)","class label (inferred)","0D","Fixed (inferred)"
"Byte-level text classification (Long Range Arena)","byte-level text sequences","1D (t)","Capped (inferred)","Static (inferred)","Direct (inferred)","class label (inferred)","0D","Fixed (inferred)"
"Byte-level document retrieval (Long Range Arena)","byte-level documents","1D (t)","Capped (inferred)","Static (inferred)","Direct (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper."
"Image classification on sequences of pixels (Long Range Arena)","pixel sequences","1D (t); 2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","class label (inferred)","0D","Fixed (inferred)"
"Pathfinder task (long-range spatial dependency)","spatial layouts/images","2D (x, y) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","class label (inferred)","0D","Fixed (inferred)"
