task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"4D occupancy reconstruction","4D occupancy scene/sequence (dynamic 3D occupancy sequence Q)","4D (x, y, z, t)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","reconstructed 4D occupancy scenes with semantics (Q')","4D (x, y, z, t)","Fixed (inferred)"
"4D occupancy generation (unconditional)","Gaussian noise (diffusion input)","Not specified in the paper.","Not specified in the paper.","Static (inferred)","Constructed (inferred)","generated 4D occupancy scenes (novel 4D scenes)","4D (x, y, z, t)","Fixed (inferred)"
"HexPlane-conditional generation (autoregressive)","HexPlane condition from previous frames","2D (x, y); 2D (x, z); 2D (y, z); 2D (t, x); 2D (t, y); 2D (t, z)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","extended 4D occupancy sequences (next sequence)","4D (x, y, z, t)","Open (inferred)"
"Layout-conditioned generation","bird's-eye view layout sketch (T x H x W)","3D (x, y, t)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","4D occupancy scenes with controlled vehicle placement/dynamics","4D (x, y, z, t)","Fixed (inferred)"
"Command-conditioned generation","command label (STATIC, FORWARD, TURN LEFT, TURN RIGHT)","0D (inferred)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","4D occupancy scenes with ego-motion control","4D (x, y, z, t)","Fixed (inferred)"
"Trajectory-conditioned generation","trajectory XY coordinates over time (traj in R^{T x 2})","1D (t) (inferred)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","4D occupancy scenes following trajectory","4D (x, y, z, t)","Fixed (inferred)"
"4D scene inpainting","HexPlane + 2D mask on XY plane","2D (x, y); 2D (x, z); 2D (y, z); 2D (t, x); 2D (t, y); 2D (t, z)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","inpainted 4D occupancy scenes","4D (x, y, z, t)","Fixed (inferred)"
"4D scene outpainting","occupancy sequence (given scene)","4D (x, y, z, t)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","larger 4D occupancy scenes with extended spatial dimensions","4D (x, y, z, t)","Fixed (inferred)"
"Single-frame occupancy conditional generation","first-frame occupancy encoded as HexPlane","3D (x, y, z) (inferred)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","generated 4D occupancy sequences (conditional)","4D (x, y, z, t)","Fixed (inferred)"
"Occupancy forecasting","HexPlane with context length 2 seconds (T=4)","2D (x, y); 2D (x, z); 2D (y, z); 2D (t, x); 2D (t, y); 2D (t, z)","Fixed (inferred)","Static (inferred)","Constructed (inferred)","next 2 seconds 4D occupancy sequence","4D (x, y, z, t)","Fixed (inferred)"
