task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Next-token prediction (language modeling),text tokens (document),1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,next token,0D,Fixed (inferred)
Dialogue/text response generation,text prompts or dialogue turns,1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,generated text (dialogue/emails),1D (t),Capped (inferred)
Machine translation,text (source language),1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,text (target language),1D (t),Capped (inferred)
Text summarization,text; document images,"1D (t); 2D (x, y)",Capped (inferred),Not specified in the paper.,Not specified in the paper.,summary text,1D (t),Capped (inferred)
Text editing / copyediting (formatting),text drafts,1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,edited text,1D (t),Capped (inferred)
Free-response question answering (exam-style),question prompts (text),1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,free-response text,1D (t),Capped (inferred)
Multiple-choice question answering,question text + answer options,1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer choice (letter),0D,Fixed (inferred)
Arithmetic problem solving,math word problems (text),1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,numeric answer,0D,Fixed (inferred)
Text classification (content categories),text content,1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,category label,0D,Fixed (inferred)
Code synthesis (Python functions / coding tasks),natural language programming prompts,1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,code (tokens),1D (t),Capped (inferred)
Code vulnerability analysis,source code,1D (t),Capped (inferred),Not specified in the paper.,Not specified in the paper.,vulnerability findings (text),1D (t),Capped (inferred)
Multimodal visual question answering / image understanding,images + text,"2D (x, y); 1D (t)",Capped (inferred),Not specified in the paper.,Not specified in the paper.,text answers/descriptions,1D (t),Capped (inferred)
