task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Masked language modeling (MLM),token sequence with masked WordPiece tokens,1D (t) (inferred),Capped,Static (inferred),Constructed (inferred),masked token identities,1D (t) (inferred),Capped (inferred)
Next sentence prediction (NSP),sentence pair (A and B) token sequence,1D (t) (inferred),Capped,Static (inferred),Constructed (inferred),IsNext/NotNext label,0D (inferred),Fixed (inferred)
Entailment classification (MNLI),sentence pair,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),entailment/contradiction/neutral label,0D (inferred),Fixed (inferred)
Question pair equivalence classification (QQP),question pair,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),equivalence label,0D (inferred),Fixed (inferred)
Answer sentence classification (QNLI),question and sentence pair,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),contains-answer label,0D (inferred),Fixed (inferred)
Sentiment classification (SST-2),single sentence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),sentiment label,0D (inferred),Fixed (inferred)
Acceptability classification (CoLA),single sentence,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),acceptable/unacceptable label,0D (inferred),Fixed (inferred)
Semantic textual similarity scoring (STS-B),sentence pair,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),similarity score (1-5),0D (inferred),Fixed (inferred)
Paraphrase classification (MRPC),sentence pair,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),equivalence label,0D (inferred),Fixed (inferred)
Textual entailment classification (RTE),sentence pair,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),entailment label,0D (inferred),Fixed (inferred)
Extractive question answering (SQuAD v1.1),question and passage,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),answer text span,1D (t) (inferred),Capped (inferred)
Extractive QA with unanswerable option (SQuAD v2.0),question and paragraph,1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),answer span or no-answer,1D (t) (inferred),Capped (inferred)
Sentence continuation selection (SWAG),sentence plus candidate continuations (4 sequences),1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),choice label (most plausible continuation),0D (inferred),Fixed (inferred)
Named entity recognition tagging (CoNLL-2003),token sequence (document context),1D (t) (inferred),Capped (inferred),Static (inferred),Constructed (inferred),token-level NER labels,1D (t) (inferred),Capped (inferred)
